#molid 	 transid 	 up->low 	 freq., GHz 	 tau 	 Excitation temperature
1 	 71 	 33 -> 17 	 2.505344e+03 	 1.406155e-02 	 9.665547e+01
1 	 72 	 33 -> 16 	 2.939447e+03 	 6.554474e-02 	 1.098979e+02
1 	 73 	 33 -> 12 	 3.305876e+03 	 9.994678e-02 	 1.118761e+02
1 	 74 	 33 -> 6 	 3.925943e+03 	 8.018862e-05 	 1.047355e+02
1 	 75 	 34 -> 29 	 3.641032e+02 	 2.438738e+02 	 6.977137e+01
1 	 76 	 34 -> 18 	 2.500389e+03 	 1.230683e-02 	 1.055555e+02
1 	 77 	 34 -> 15 	 2.941930e+03 	 7.090467e-02 	 1.062840e+02
1 	 78 	 34 -> 13 	 3.304810e+03 	 9.431207e-02 	 1.165754e+02
1 	 79 	 35 -> 33 	 4.369573e+02 	 3.777913e+02 	 7.431737e+01
1 	 80 	 35 -> 20 	 2.433155e+03 	 2.927201e-02 	 8.635390e+01
1 	 81 	 35 -> 18 	 2.937346e+03 	 1.283648e-01 	 9.806860e+01
1 	 82 	 35 -> 15 	 3.378887e+03 	 1.761877e-01 	 9.954314e+01
1 	 83 	 35 -> 11 	 3.928408e+03 	 3.150330e-04 	 9.489721e+01
1 	 84 	 36 -> 34 	 4.369575e+02 	 3.780531e+02 	 7.402394e+01
1 	 85 	 36 -> 21 	 2.424270e+03 	 2.494651e-02 	 9.530476e+01
1 	 86 	 36 -> 17 	 2.942301e+03 	 1.429154e-01 	 9.358812e+01
1 	 87 	 36 -> 16 	 3.376404e+03 	 1.622244e-01 	 1.046443e+02
1 	 88 	 36 -> 14 	 3.422574e+03 	 1.234986e-04 	 8.891156e+01
1 	 89 	 36 -> 6 	 4.362901e+03 	 1.905842e-04 	 1.014561e+02
1 	 90 	 37 -> 30 	 8.551513e+02 	 1.787510e+03 	 1.262569e+02
1 	 91 	 38 -> 31 	 7.983135e+02 	 9.944940e+02 	 1.351976e+02
1 	 92 	 38 -> 30 	 1.022509e+03 	 8.046146e+00 	 7.731899e+01
1 	 93 	 39 -> 38 	 4.861803e+01 	 4.136013e+01 	 9.554747e+00
1 	 94 	 39 -> 37 	 2.159762e+02 	 1.878419e+00 	 1.871574e+01
1 	 95 	 39 -> 32 	 8.128314e+02 	 8.983240e+02 	 1.216743e+02
1 	 96 	 39 -> 25 	 1.857412e+03 	 6.871997e+00 	 7.761772e+01
1 	 97 	 40 -> 35 	 5.098296e+02 	 4.363808e+02 	 7.340361e+01
1 	 98 	 40 -> 23 	 2.361372e+03 	 4.865403e-02 	 7.578814e+01
1 	 99 	 40 -> 21 	 2.934099e+03 	 1.927338e-01 	 8.960799e+01
1 	 100 	 40 -> 17 	 3.452130e+03 	 2.620420e-01 	 8.909752e+01
1 	 101 	 40 -> 14 	 3.932403e+03 	 8.962768e-04 	 8.585877e+01
1 	 102 	 41 -> 36 	 5.098301e+02 	 4.371411e+02 	 7.332840e+01
1 	 103 	 41 -> 24 	 2.346647e+03 	 4.044301e-02 	 8.425596e+01
1 	 104 	 41 -> 20 	 2.942985e+03 	 2.202679e-01 	 8.464610e+01
1 	 105 	 41 -> 19 	 3.355696e+03 	 3.468352e-04 	 7.895001e+01
1 	 106 	 41 -> 18 	 3.447177e+03 	 2.354919e-01 	 9.433072e+01
1 	 107 	 41 -> 11 	 4.438238e+03 	 5.558581e-04 	 9.248638e+01
2 	 1 	 2 -> 1 	 4.829660e+00 	 -1.512543e+00 	 -3.280246e+02
2 	 2 	 3 -> 1 	 1.408395e+02 	 2.191968e+01 	 6.565860e+02
2 	 3 	 4 -> 3 	 1.448848e+01 	 1.307878e-02 	 6.256814e+04
2 	 4 	 4 -> 2 	 1.504983e+02 	 2.345680e+01 	 6.558868e+02
2 	 5 	 5 -> 3 	 2.112115e+02 	 7.096134e+01 	 5.327176e+02
2 	 6 	 6 -> 5 	 2.897481e+01 	 8.350222e-01 	 1.345431e+03
2 	 7 	 6 -> 4 	 2.256978e+02 	 7.476066e+01 	 5.402268e+02
2 	 8 	 7 -> 5 	 2.815269e+02 	 1.670729e+02 	 4.133492e+02
2 	 9 	 8 -> 7 	 4.828455e+01 	 2.600582e+00 	 5.368596e+02
2 	 10 	 8 -> 6 	 3.008366e+02 	 1.833513e+02 	 4.013882e+02
2 	 11 	 9 -> 7 	 3.517686e+02 	 3.238878e+02 	 3.269864e+02
2 	 12 	 10 -> 9 	 7.240909e+01 	 5.211398e+00 	 3.099658e+02
2 	 13 	 10 -> 8 	 3.758932e+02 	 3.641515e+02 	 3.082470e+02
2 	 14 	 11 -> 9 	 4.219206e+02 	 5.363688e+02 	 2.700905e+02
2 	 15 	 12 -> 11 	 1.013330e+02 	 7.993313e+00 	 2.205124e+02
2 	 16 	 12 -> 10 	 4.508444e+02 	 6.040437e+02 	 2.521394e+02
2 	 17 	 13 -> 11 	 4.919684e+02 	 7.657887e+02 	 2.377423e+02
2 	 18 	 14 -> 13 	 1.350304e+02 	 1.094764e+01 	 1.670822e+02
2 	 19 	 14 -> 12 	 5.256658e+02 	 8.680695e+02 	 2.173998e+02
2 	 20 	 15 -> 7 	 1.695786e+03 	 9.673773e-03 	 1.000441e+02
2 	 21 	 15 -> 6 	 1.948338e+03 	 4.307037e-02 	 1.106385e+02
2 	 22 	 15 -> 3 	 2.188524e+03 	 4.877743e-02 	 1.213961e+02
2 	 23 	 16 -> 15 	 6.550000e-04 	 -2.627251e+00 	 -3.716879e-02
2 	 24 	 16 -> 8 	 1.647502e+03 	 1.058343e-02 	 9.781623e+01
2 	 25 	 16 -> 5 	 1.977313e+03 	 4.065346e-02 	 1.122590e+02
2 	 26 	 16 -> 4 	 2.174036e+03 	 5.020257e-02 	 1.207121e+02
2 	 27 	 17 -> 13 	 5.618993e+02 	 9.917342e+02 	 2.152416e+02
2 	 28 	 18 -> 15 	 2.913805e+02 	 1.785863e+02 	 7.424552e+01
2 	 29 	 18 -> 9 	 1.635397e+03 	 3.685108e-02 	 8.259937e+01
2 	 30 	 18 -> 8 	 1.938882e+03 	 1.517819e-01 	 9.328272e+01
2 	 31 	 18 -> 5 	 2.268693e+03 	 1.378203e-01 	 1.052463e+02
2 	 32 	 19 -> 18 	 4.573000e-03 	 1.181143e+00 	 3.702612e-01
2 	 33 	 19 -> 16 	 2.913843e+02 	 1.799701e+02 	 7.368373e+01
2 	 34 	 19 -> 10 	 1.562993e+03 	 4.191894e-02 	 7.983456e+01
2 	 35 	 19 -> 7 	 1.987171e+03 	 1.386139e-01 	 9.513779e+01
2 	 36 	 19 -> 6 	 2.239723e+03 	 1.459906e-01 	 1.039467e+02
2 	 37 	 20 -> 17 	 1.734617e+02 	 1.323685e+01 	 1.369142e+02
2 	 38 	 20 -> 14 	 6.003306e+02 	 1.109588e+03 	 1.955907e+02
2 	 39 	 21 -> 18 	 3.642751e+02 	 2.975222e+02 	 8.354463e+01
2 	 40 	 21 -> 11 	 1.577752e+03 	 8.521673e-02 	 6.982053e+01
2 	 41 	 21 -> 10 	 1.927264e+03 	 3.445036e-01 	 8.055171e+01
2 	 42 	 21 -> 7 	 2.351441e+03 	 2.732745e-01 	 9.318105e+01
2 	 43 	 22 -> 21 	 1.828300e-02 	 1.155975e+00 	 9.998802e-01
2 	 44 	 22 -> 19 	 3.642889e+02 	 2.976760e+02 	 8.343422e+01
2 	 45 	 22 -> 12 	 1.476437e+03 	 1.012646e-01 	 6.663826e+01
2 	 46 	 22 -> 9 	 1.999691e+03 	 3.024134e-01 	 8.270813e+01
2 	 47 	 22 -> 8 	 2.303175e+03 	 2.997966e-01 	 9.152829e+01
2 	 48 	 23 -> 17 	 6.317028e+02 	 1.238514e+03 	 1.897176e+02
2 	 49 	 24 -> 23 	 2.165687e+02 	 1.445368e+01 	 1.182140e+02
2 	 50 	 24 -> 20 	 6.748098e+02 	 1.345287e+03 	 1.732605e+02
2 	 51 	 25 -> 21 	 4.371995e+02 	 3.523188e+02 	 9.613902e+01
2 	 52 	 25 -> 13 	 1.522983e+03 	 1.517320e-01 	 6.073592e+01
2 	 53 	 25 -> 12 	 1.913619e+03 	 6.219489e-01 	 7.171061e+01
2 	 54 	 25 -> 9 	 2.436872e+03 	 4.492592e-01 	 8.488781e+01
2 	 55 	 26 -> 25 	 5.481800e-02 	 3.669516e+00 	 6.394931e-01
2 	 56 	 26 -> 22 	 4.372360e+02 	 3.567789e+02 	 9.474211e+01
2 	 57 	 26 -> 14 	 1.388008e+03 	 1.890263e-01 	 5.699523e+01
2 	 58 	 26 -> 11 	 2.015006e+03 	 5.225233e-01 	 7.399801e+01
2 	 59 	 26 -> 10 	 2.364518e+03 	 5.133018e-01 	 8.279388e+01
2 	 60 	 27 -> 23 	 7.013705e+02 	 1.558383e+03 	 1.545262e+02
2 	 61 	 28 -> 25 	 5.101557e+02 	 3.762671e+02 	 1.066952e+02
2 	 62 	 28 -> 17 	 1.471240e+03 	 2.276534e-01 	 5.399763e+01
2 	 63 	 28 -> 14 	 1.898108e+03 	 9.655908e-01 	 6.534216e+01
2 	 64 	 28 -> 11 	 2.525107e+03 	 6.485273e-01 	 7.909186e+01
2 	 65 	 29 -> 28 	 1.369250e-01 	 4.157485e+00 	 9.683174e-01
2 	 66 	 29 -> 26 	 5.102378e+02 	 3.785350e+02 	 1.054839e+02
2 	 67 	 29 -> 20 	 1.297915e+03 	 2.981673e-01 	 4.968886e+01
2 	 68 	 29 -> 13 	 2.033276e+03 	 7.742856e-01 	 6.777964e+01
2 	 69 	 29 -> 12 	 2.423911e+03 	 7.757232e-01 	 7.668632e+01
2 	 70 	 30 -> 27 	 2.642701e+02 	 1.449095e+01 	 1.034871e+02
2 	 71 	 30 -> 24 	 7.490719e+02 	 1.626119e+03 	 1.423958e+02
2 	 72 	 31 -> 28 	 5.831446e+02 	 3.847792e+02 	 1.130766e+02
2 	 73 	 31 -> 23 	 1.422681e+03 	 2.984710e-01 	 4.893354e+01
2 	 74 	 31 -> 20 	 1.880923e+03 	 1.343138e+00 	 6.040890e+01
2 	 75 	 31 -> 13 	 2.616284e+03 	 8.487735e-01 	 7.472106e+01
2 	 76 	 32 -> 31 	 3.008700e-01 	 4.691896e+00 	 1.293478e+00
2 	 77 	 32 -> 29 	 5.833086e+02 	 3.880989e+02 	 1.111428e+02
2 	 78 	 32 -> 24 	 1.206414e+03 	 4.125608e-01 	 4.391054e+01
2 	 79 	 32 -> 17 	 2.054685e+03 	 1.023083e+00 	 6.295752e+01
2 	 80 	 32 -> 14 	 2.481554e+03 	 1.066084e+00 	 7.205768e+01
2 	 81 	 33 -> 27 	 7.708961e+02 	 1.502027e+03 	 1.544727e+02
2 	 82 	 34 -> 33 	 3.164568e+02 	 1.373766e+01 	 9.271508e+01
