1 2 1	2.72795164289895054e-12
1 3 2	7.32814535445504874e-12
1 4 3	1.08715052656157322e-11
1 5 4	1.01222087285752014e-11
1 6 5	1.07840460686722404e-11
1 7 3	2.42255782421070701e-12
1 8 7	6.69817326446361320e-19
1 8 4	1.06466344561378837e-12
1 8 2	2.29753396774619924e-12
1 9 7	4.11756137872318079e-12
1 9 4	5.80958308807871072e-12
1 10 9	8.68134602150432137e-18
1 10 8	3.07055089651951054e-12
1 10 5	1.52043999509830736e-12
1 10 3	6.29473060416638891e-12
1 11 6	1.22113837765486378e-11
1 12 9	6.90066317295370382e-12
1 12 5	1.00656587334306840e-11
1 13 12	5.24607769346784754e-17
1 13 10	4.94362279770226704e-12
1 13 6	1.85306338772307918e-12
1 13 4	1.29784597242347386e-11
1 14 11	1.47017727506723321e-11
1 15 12	9.62795965408300379e-12
1 15 6	1.39579020797667875e-11
1 16 15	2.37111951866137310e-16
1 16 13	7.19359373993149618e-12
1 16 11	1.91052441305993861e-12
1 16 5	2.11259886720057073e-11
1 17 15	1.13879902260470907e-11
1 17 11	1.66872293869872335e-11
1 18 17	9.02577190531127898e-16
1 18 16	9.15941901090682671e-12
1 18 14	1.69849625972213762e-12
1 18 6	2.86673191662340768e-11
1 19 14	1.86282199362708790e-11
1 20 17	1.02405866442731743e-11
1 20 14	1.67200014456050382e-11
1 21 20	3.03060949458428711e-15
1 21 19	1.26247591063346306e-12
1 21 18	9.02019228995189406e-12
1 21 11	3.24617616435826271e-11
1 22 19	2.34413182986059716e-11
1 23 20	1.38058606640404170e-11
1 23 19	1.61268898573283481e-11
1 24 23	6.77901200187583089e-15
1 24 22	8.76058793569163814e-13
1 24 21	1.22529551295617706e-11
1 24 14	3.49237719941639179e-11
1 25 22	2.64703359571842883e-11
1 26 23	1.94656394798785391e-11
1 26 22	1.57617353899908521e-11
1 27 26	1.06748770510930324e-14
1 27 25	6.20907745582487519e-13
1 27 24	1.69864025298054680e-11
1 27 19	3.71867649129341900e-11
1 28 15	9.94614284616855302e-13
1 28 13	2.63975607590676141e-12
1 28 9	4.90875239086123289e-12
1 29 16	9.98719708266956979e-13
1 29 12	2.67328159326424869e-12
1 29 10	4.98214525480748670e-12
1 30 25	2.31529555666586459e-11
1 31 26	2.39689502708034814e-11
1 31 25	1.56104336278693238e-11
1 32 31	1.54602636569648650e-14
1 32 30	5.06751955919537766e-13
1 32 27	2.13508152024656943e-11
1 32 22	3.88241482667812685e-11
1 33 28	2.51998845133585263e-12
1 33 17	1.39986969648736844e-12
1 33 16	5.30272888839185673e-12
1 33 12	8.89861086198903208e-12
1 33 6	7.56160194336752259e-13
1 34 29	2.51998845133585263e-12
1 34 18	1.41086635818575787e-12
1 34 15	5.38523067310314647e-12
1 34 13	9.06516825790747187e-12
1 35 33	3.79334186602366212e-12
1 35 20	1.81160020193228178e-12
1 35 18	7.84345196948149079e-12
1 35 15	1.21879573745792573e-11
1 35 11	7.71321096783594640e-13
1 36 34	3.79279490132060762e-12
1 36 21	1.82680776655785232e-12
1 36 17	7.94935905898880917e-12
1 36 16	1.24401063965629930e-11
1 36 14	7.56808018554515825e-13
1 36 6	7.65199724007406442e-13
1 37 30	2.39944811628414002e-11
1 38 31	2.28754173769345860e-11
1 38 30	1.56719145319523644e-11
1 39 38	2.33122340972621310e-14
1 39 37	4.50115953652706991e-13
1 39 32	2.09169860576256915e-11
1 39 25	3.76040908392045232e-11
1 40 35	5.22469521768072084e-12
1 40 23	2.09483028165023246e-12
1 40 21	9.63708382880405274e-12
1 40 17	1.43025641249321287e-11
1 40 14	7.99620682058213689e-13
1 41 36	5.22387727272066646e-12
1 41 24	2.11007685679184595e-12
1 41 20	9.74331544505075174e-12
1 41 19	7.64670475780514059e-13
1 41 18	1.46425978664031396e-11
1 41 11	7.88323257220871012e-13
2 2 1	1.70787140802982230e-13
2 3 1	3.83332627014822831e-12
2 4 3	4.68651680118245860e-13
2 4 2	4.37744750506685149e-12
2 5 3	7.14085706048004418e-12
2 6 5	5.56034933224460254e-13
